AmerSur-G2,AmerSur-G3,Asia1-G1,Asia1-G2,Asia1-G3,Asia1-G4,Asia2-G1,Asia2-G2,Asia2-G3,Asia2-G4,Australia-G1,Australia-G2,Australia-G3,Australia-G4,Australia-G5,USA-G1,USA-G2,USA-G3,USA-G4,USA-G5
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5652174,0.4347826,0.0,0.0,0.0,0.1851852,0.8148148,0.0,0.0,0.0
1.0,0.0,0.8,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.5918367,0.4081633,0.0,0.0,0.0,0.1981132,0.8018868,0.0,0.0,0.0
1.0,0.0,0.8333333,0.1666667,0.0,0.0,1.0,0.0,0.0,0.0,0.5652174,0.4347826,0.0,0.0,0.0,0.2396313,0.7603687,0.0,0.0,0.0
1.0,0.0,0.8333333,0.1666667,0.0,0.0,1.0,0.0,0.0,0.0,0.6538462,0.3461538,0.0,0.0,0.0,0.2369668,0.7630332,0.0,0.0,0.0
1.0,0.0,0.8333333,0.1666667,0.0,0.0,1.0,0.0,0.0,0.0,0.6956522,0.3043478,0.0,0.0,0.0,0.2316514,0.7683486,0.0,0.0,0.0
1.0,0.0,0.4166667,0.5833333,0.0,0.0,1.0,0.0,0.0,0.0,0.7352941,0.2647059,0.0,0.0,0.0,0.177673,0.822327,0.0,0.0,0.0
1.0,0.0,0.25,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.6896552,0.3103448,0.0,0.0,0.0,0.1757576,0.8242424,0.0,0.0,0.0
,,0.1428571,0.8571429,0.0,0.0,1.0,0.0,0.0,0.0,0.7142857,0.2857143,0.0,0.0,0.0,0.1575145,0.8424855,0.0,0.0,0.0
,,0.1428571,0.8571429,0.0,0.0,1.0,0.0,0.0,0.0,0.6666667,0.3333333,0.0,0.0,0.0,0.1362126,0.8637874,0.0,0.0,0.0
,,0.25,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.7142857,0.2857143,0.0,0.0,0.0,0.1183206,0.8816794,0.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6363636,0.3636364,0.0,0.0,0.0,0.1472603,0.8527397,0.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7272727,0.2727273,0.0,0.0,0.0,0.1489362,0.8510638,0.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8888889,0.1111111,0.0,0.0,0.0,0.2701863,0.7298137,0.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.125,0.0,0.0,0.0,0.2479564,0.7520436,0.0,0.0,0.0
1.0,0.0,,,,,1.0,0.0,0.0,0.0,0.8888889,0.1111111,0.0,0.0,0.0,0.2318841,0.7681159,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8888889,0.1111111,0.0,0.0,0.0,0.2131868,0.7868132,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.9642857,0.03571429,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2156398,0.7843602,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.969697,0.03030303,0.0,0.0,0.8333333,0.1666667,0.0,0.0,0.0,0.1315136,0.8684864,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.9722222,0.02777778,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.1315136,0.8684864,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.9876543,0.01234568,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.1219512,0.8780488,0.0,0.0,0.0
0.9090909,0.0,,,,,0.9879518,0.01204819,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.1151515,0.8848485,0.0,0.0,0.0
0.9090909,0.0,,,,,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.1233108,0.8766892,0.0,0.0,0.0
0.9166667,0.0,,,,,1.0,0.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,0.1092279,0.8907721,0.0,0.0,0.0
0.8888889,0.0,,,,,0.9892473,0.01075269,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,0.1033058,0.8966942,0.0,0.0,0.0
0.9444444,0.0,,,,,0.9423077,0.05769231,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0877551,0.9122449,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.9545455,0.04545455,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08559499,0.914405,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.9571429,0.04285714,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06280193,0.9371981,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.9433962,0.05660377,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06122449,0.9387755,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.9411765,0.05882353,0.0,0.0,0.1428571,0.8571429,0.0,0.0,0.0,0.06292135,0.9370787,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1428571,0.8571429,0.0,0.0,0.0,0.07669617,0.9233038,0.0,0.0,0.0
